,Image,Red,Green,Blue,Predicted
0,"CroppedPhotos/capture1-0,0.jpg",49.0,49.0,85.0,BLUE
1,"CroppedPhotos/capture1-0,1.jpg",41.0,44.0,89.0,BLUE
2,"CroppedPhotos/capture1-0,2.jpg",33.0,38.0,86.0,BLUE
3,"CroppedPhotos/capture1-1,0.jpg",91.0,86.0,97.0,BLUE
4,"CroppedPhotos/capture1-1,1.jpg",52.0,61.0,96.0,BLUE
5,"CroppedPhotos/capture1-1,2.jpg",33.0,26.0,24.0,BLUE
6,"CroppedPhotos/capture1-2,0.jpg",153.0,110.0,86.0,RED
7,"CroppedPhotos/capture1-2,1.jpg",58.0,56.0,93.0,BLUE
8,"CroppedPhotos/capture1-2,2.jpg",33.0,39.0,88.0,BLUE
9,"CroppedPhotos/capture2-0,0.jpg",137.0,127.0,117.0,RED
10,"CroppedPhotos/capture2-0,1.jpg",141.0,132.0,126.0,RED
11,"CroppedPhotos/capture2-0,2.jpg",138.0,129.0,121.0,RED
12,"CroppedPhotos/capture2-1,0.jpg",136.0,125.0,116.0,RED
13,"CroppedPhotos/capture2-1,1.jpg",137.0,128.0,120.0,RED
14,"CroppedPhotos/capture2-1,2.jpg",137.0,128.0,122.0,RED
15,"CroppedPhotos/capture2-2,0.jpg",137.0,127.0,118.0,RED
16,"CroppedPhotos/capture2-2,1.jpg",139.0,131.0,126.0,RED
17,"CroppedPhotos/capture2-2,2.jpg",138.0,129.0,123.0,RED
18,"CroppedPhotos/capture3-0,0.jpg",21.0,95.0,33.0,GREEN
19,"CroppedPhotos/capture3-0,1.jpg",8.0,91.0,26.0,GREEN
20,"CroppedPhotos/capture3-0,2.jpg",4.0,89.0,19.0,GREEN
21,"CroppedPhotos/capture3-1,0.jpg",22.0,95.0,35.0,GREEN
22,"CroppedPhotos/capture3-1,1.jpg",14.0,96.0,32.0,GREEN
23,"CroppedPhotos/capture3-1,2.jpg",117.0,63.0,43.0,RED
24,"CroppedPhotos/capture3-2,0.jpg",112.0,74.0,53.0,RED
25,"CroppedPhotos/capture3-2,1.jpg",17.0,94.0,30.0,GREEN
26,"CroppedPhotos/capture3-2,2.jpg",4.0,89.0,20.0,GREEN
27,"CroppedPhotos/capture4-0,0.jpg",142.0,138.0,32.0,ORANGE
28,"CroppedPhotos/capture4-0,1.jpg",140.0,139.0,38.0,ORANGE
29,"CroppedPhotos/capture4-0,2.jpg",139.0,138.0,19.0,ORANGE
30,"CroppedPhotos/capture4-1,0.jpg",138.0,133.0,32.0,ORANGE
31,"CroppedPhotos/capture4-1,1.jpg",137.0,138.0,43.0,ORANGE
32,"CroppedPhotos/capture4-1,2.jpg",137.0,136.0,18.0,ORANGE
33,"CroppedPhotos/capture4-2,0.jpg",136.0,133.0,36.0,ORANGE
34,"CroppedPhotos/capture4-2,1.jpg",137.0,138.0,46.0,ORANGE
35,"CroppedPhotos/capture4-2,2.jpg",136.0,135.0,18.0,ORANGE
36,"CroppedPhotos/capture5-0,0.jpg",104.0,29.0,24.0,RED
37,"CroppedPhotos/capture5-0,1.jpg",101.0,18.0,9.0,RED
38,"CroppedPhotos/capture5-0,2.jpg",98.0,13.0,4.0,RED
39,"CroppedPhotos/capture5-1,0.jpg",91.0,32.0,32.0,RED
40,"CroppedPhotos/capture5-1,1.jpg",101.0,18.0,10.0,RED
41,"CroppedPhotos/capture5-1,2.jpg",118.0,72.0,48.0,RED
42,"CroppedPhotos/capture5-2,0.jpg",98.0,60.0,49.0,RED
43,"CroppedPhotos/capture5-2,1.jpg",100.0,17.0,10.0,RED
44,"CroppedPhotos/capture5-2,2.jpg",125.0,82.0,58.0,RED
45,"CroppedPhotos/capture6-0,0.jpg",249.0,80.0,30.0,RED
46,"CroppedPhotos/capture6-0,1.jpg",252.0,86.0,48.0,RED
47,"CroppedPhotos/capture6-0,2.jpg",253.0,74.0,23.0,RED
48,"CroppedPhotos/capture6-1,0.jpg",242.0,75.0,32.0,RED
49,"CroppedPhotos/capture6-1,1.jpg",251.0,95.0,60.0,RED
50,"CroppedPhotos/capture6-1,2.jpg",254.0,71.0,21.0,RED
51,"CroppedPhotos/capture6-2,0.jpg",242.0,90.0,49.0,RED
52,"CroppedPhotos/capture6-2,1.jpg",250.0,95.0,64.0,RED
53,"CroppedPhotos/capture6-2,2.jpg",250.0,67.0,19.0,RED
